arm,seed,case,env_id,fall_by_height_channel,fall_by_tilt_channel,fall_by_either,max_continuous_low_height_s,max_continuous_tilted_s,terrain_z_min,terrain_z_max,terrain_z_span_m
A033,101,stairs_10_down,31,0,0,0,0.2,0.0,-0.7000016095166538,-0.038503106265144554,0.6614985032515093
A033,202,stairs_10_down,0,1,0,1,0.7,0.0,-0.696792949329723,-0.517647309736772,0.17914563959295104
A033,202,stairs_10_down,1,0,0,0,0.22,0.0,-0.698931291141612,-0.33048135074064694,0.36844994040096507
A033,202,stairs_10_down,2,0,0,0,0.14,0.0,-0.7000017115139069,-0.15347595010849244,0.5465257614054144
A033,202,stairs_10_down,3,0,0,0,0.1,0.0,-0.7000016911144562,-0.5320855512976009,0.16791613981685527
A033,202,stairs_10_down,4,0,0,0,0.02,0.0,-0.7000017013141816,-0.44224609538195603,0.2577556059322256
A033,202,stairs_10_down,5,0,0,0,0.0,0.0,-0.6994661035384724,-3.0599175927473265e-08,0.6994660729392964
A033,202,stairs_10_down,6,1,0,1,9.2,0.0,-0.7000009159353328,-0.4187163286668094,0.28128458726852335
A033,202,stairs_10_down,7,1,0,1,0.5,0.0,-0.6983971111277208,-0.5235292975277824,0.17486781359993842
A033,202,stairs_10_down,8,1,0,1,0.56,0.0,-0.7000012117273667,-0.2443848676222531,0.45561634410511365
A033,202,stairs_10_down,9,0,0,0,0.0,0.0,-0.700001252526268,-0.35828822946803457,0.3417130230582334
A033,202,stairs_10_down,10,0,0,0,0.26,0.0,-0.7000013341240704,-0.3695181984314944,0.330483135692576
A033,202,stairs_10_down,11,1,0,1,0.84,0.0,-0.7000009465345087,-0.4042777913139466,0.29572315522056214
A033,202,stairs_10_down,12,1,0,1,12.62,0.0,-0.7000003651501661,-0.4219247542600581,0.27807561089010796
A033,202,stairs_10_down,13,1,0,1,11.3,0.0,-0.7000012831254439,-0.4203206026617856,0.27968068046365824
A033,202,stairs_10_down,14,1,0,1,0.8,0.0,-0.7000012933251692,-0.5283422011105134,0.1716590922146558
A033,202,stairs_10_down,15,0,0,0,0.34,0.0,-0.7000013851226969,-0.4374330694025213,0.26256831572017564
A033,202,stairs_10_down,16,0,0,0,0.0,0.0,-0.7000013137246198,-0.5304810325092173,0.16952028121540252
A033,202,stairs_10_down,17,0,0,0,0.14,0.0,-0.7000012933251692,-0.43475897681904346,0.2652423165061258
A033,202,stairs_10_down,18,1,0,1,0.66,0.0,-0.7000012117273667,-0.5352940482889267,0.16470716343844005
A033,202,stairs_10_down,19,0,0,0,0.0,0.0,-0.7000012321268173,-0.5401068906733059,0.15989434145351145
A033,202,stairs_10_down,20,0,0,0,0.44,0.28,-0.7000013239243451,-0.34438493290049504,0.35561639102385006
A033,202,stairs_10_down,21,1,0,1,6.52,0.0,-0.7000007425400026,-0.3315502309544201,0.36845051158558245
A033,202,stairs_10_down,22,0,0,0,0.34,0.0,-0.7000003753498913,-0.5363640912713852,0.16363628407850617
A033,202,stairs_10_down,23,1,0,1,13.96,0.0,-0.7000014361213235,-0.4197856780679468,0.2802157580533767
A033,202,stairs_10_down,24,0,0,0,0.18,0.0,-0.698931321740788,-0.44438536536884815,0.25454595637193983
